Method,is,rmse
GRANGER_CAUSALITY_MATRIX,sri lanka_1.4.1_2273,0.543697376
DTW_MATRIX,sri lanka_1.4.1_2273,0.627142403
COEFFICIENTS_MATRIX,sri lanka_1.4.1_2273,0.623928342
R_SQUARE_MATRIX,sri lanka_1.4.1_2273,0.57363334
PEARSON_CORR_MATRIX,sri lanka_1.4.1_2273,0.700136794
sgd_cap,sri lanka_1.4.1_2273,0.552229417
T_TEST_MATRIX,sri lanka_1.4.1_2272,0.585728152
GRANGER_CAUSALITY_MATRIX,sri lanka_1.4.1_2272,0.656028845
DTW_MATRIX,sri lanka_1.4.1_2272,0.482744069
COEFFICIENTS_MATRIX,sri lanka_1.4.1_2272,0.579963861
R_SQUARE_MATRIX,sri lanka_1.4.1_2272,0.593102799
sgd_cap,sri lanka_1.4.1_2272,0.446660863
PEARSON_CORR_MATRIX,sri lanka_1.4.1_2274,0.676098111
T_TEST_MATRIX,sri lanka_1.4.1_2274,0.757601301
GRANGER_CAUSALITY_MATRIX,sri lanka_1.4.1_2274,0.518223822
DTW_MATRIX,sri lanka_1.4.1_2274,0.57499645
COEFFICIENTS_MATRIX,sri lanka_1.4.1_2274,0.401413898
sgd_cap,sri lanka_1.4.1_2274,0.647902067
R_SQUARE_MATRIX,sri lanka_1.5.1_3320,7.741023188
PEARSON_CORR_MATRIX,sri lanka_1.5.1_3320,7.663086293
T_TEST_MATRIX,sri lanka_1.5.1_3320,7.690334122
GRANGER_CAUSALITY_MATRIX,sri lanka_1.5.1_3320,7.654286173
DTW_MATRIX,sri lanka_1.5.1_3320,7.50305352
sgd_cap,sri lanka_1.5.1_3320,7.618242916
DTW_MATRIX,sri lanka_1.1.1_1,0.387952438
COEFFICIENTS_MATRIX,sri lanka_1.1.1_1,0.425521561
R_SQUARE_MATRIX,sri lanka_1.1.1_1,0.269311841
PEARSON_CORR_MATRIX,sri lanka_1.1.1_1,0.429037719
T_TEST_MATRIX,sri lanka_1.1.1_1,0.448288225
sgd_cap,sri lanka_1.1.1_1,0.421064856
GRANGER_CAUSALITY_MATRIX,sri lanka_1.1.1_8,0.375458051
DTW_MATRIX,sri lanka_1.1.1_8,0.405879575
COEFFICIENTS_MATRIX,sri lanka_1.1.1_8,0.418127249
R_SQUARE_MATRIX,sri lanka_1.1.1_8,0.408032189
PEARSON_CORR_MATRIX,sri lanka_1.1.1_8,0.300933606
sgd_cap,sri lanka_1.1.1_8,0.246993662
T_TEST_MATRIX,sri lanka_1.1.1_9,0.421959607
GRANGER_CAUSALITY_MATRIX,sri lanka_1.1.1_9,0.470069207
DTW_MATRIX,sri lanka_1.1.1_9,0.372200587
COEFFICIENTS_MATRIX,sri lanka_1.1.1_9,0.491551869
R_SQUARE_MATRIX,sri lanka_1.1.1_9,0.473585821
sgd_cap,sri lanka_1.1.1_9,0.630008657
PEARSON_CORR_MATRIX,sri lanka_1.1.1_6,0.240415216
T_TEST_MATRIX,sri lanka_1.1.1_6,0.269518462
GRANGER_CAUSALITY_MATRIX,sri lanka_1.1.1_6,0.343047773
DTW_MATRIX,sri lanka_1.1.1_6,0.461418023
COEFFICIENTS_MATRIX,sri lanka_1.1.1_6,0.371652355
sgd_cap,sri lanka_1.1.1_6,0.523512949
R_SQUARE_MATRIX,sri lanka_1.1.1_5,0.404817136
PEARSON_CORR_MATRIX,sri lanka_1.1.1_5,0.398705285
T_TEST_MATRIX,sri lanka_1.1.1_5,0.466388746
GRANGER_CAUSALITY_MATRIX,sri lanka_1.1.1_5,0.354573473
DTW_MATRIX,sri lanka_1.1.1_5,0.435153319
sgd_cap,sri lanka_1.1.1_5,0.281467447
DTW_MATRIX,sri lanka_1.1.1_7,0.377674338
COEFFICIENTS_MATRIX,sri lanka_1.1.1_7,0.429185368
R_SQUARE_MATRIX,sri lanka_1.1.1_7,0.452622405
PEARSON_CORR_MATRIX,sri lanka_1.1.1_7,0.228141566
T_TEST_MATRIX,sri lanka_1.1.1_7,0.311496738
sgd_cap,sri lanka_1.1.1_7,0.378447178
GRANGER_CAUSALITY_MATRIX,sri lanka_1.1.1_3,0.377295099
DTW_MATRIX,sri lanka_1.1.1_3,0.287456966
COEFFICIENTS_MATRIX,sri lanka_1.1.1_3,0.399225181
R_SQUARE_MATRIX,sri lanka_1.1.1_3,0.358619065
PEARSON_CORR_MATRIX,sri lanka_1.1.1_3,0.261454209
sgd_cap,sri lanka_1.1.1_3,0.256155773
T_TEST_MATRIX,sri lanka_1.1.1_2,0.518006082
GRANGER_CAUSALITY_MATRIX,sri lanka_1.1.1_2,0.370675124
DTW_MATRIX,sri lanka_1.1.1_2,0.459421144
COEFFICIENTS_MATRIX,sri lanka_1.1.1_2,0.423160829
R_SQUARE_MATRIX,sri lanka_1.1.1_2,0.540586106
sgd_cap,sri lanka_1.1.1_2,0.197523384
PEARSON_CORR_MATRIX,sri lanka_1.1.1_4,0.454991571
T_TEST_MATRIX,sri lanka_1.1.1_4,0.36696013
GRANGER_CAUSALITY_MATRIX,sri lanka_1.1.1_4,0.481152774
DTW_MATRIX,sri lanka_1.1.1_4,0.517147131
COEFFICIENTS_MATRIX,sri lanka_1.1.1_4,0.453347337
sgd_cap,sri lanka_1.1.1_4,0.339477489
R_SQUARE_MATRIX,sri lanka_1.5.1_3314,2.226719517
PEARSON_CORR_MATRIX,sri lanka_1.5.1_3314,2.247355729
T_TEST_MATRIX,sri lanka_1.5.1_3314,2.169482016
GRANGER_CAUSALITY_MATRIX,sri lanka_1.5.1_3314,2.176669663
DTW_MATRIX,sri lanka_1.5.1_3314,2.181320472
sgd_cap,sri lanka_1.5.1_3314,2.149113496
DTW_MATRIX,sri lanka_1.5.1_2960,1.893138246
COEFFICIENTS_MATRIX,sri lanka_1.5.1_2960,1.763703567
R_SQUARE_MATRIX,sri lanka_1.5.1_2960,1.789890416
PEARSON_CORR_MATRIX,sri lanka_1.5.1_2960,1.826237105
T_TEST_MATRIX,sri lanka_1.5.1_2960,1.759450738
sgd_cap,sri lanka_1.5.1_2960,1.814691543
GRANGER_CAUSALITY_MATRIX,sri lanka_1.5.1_3306,3.76954308
DTW_MATRIX,sri lanka_1.5.1_3306,3.840309985
COEFFICIENTS_MATRIX,sri lanka_1.5.1_3306,3.729448059
R_SQUARE_MATRIX,sri lanka_1.5.1_3306,3.782219304
PEARSON_CORR_MATRIX,sri lanka_1.5.1_3306,3.770792731
sgd_cap,sri lanka_1.5.1_3306,3.702657038
T_TEST_MATRIX,sri lanka_1.a.1_2956,0.460020979
GRANGER_CAUSALITY_MATRIX,sri lanka_1.a.1_2956,0.289683912
DTW_MATRIX,sri lanka_1.a.1_2956,0.298586347
COEFFICIENTS_MATRIX,sri lanka_1.a.1_2956,0.300758849
R_SQUARE_MATRIX,sri lanka_1.a.1_2956,0.426727378
sgd_cap,sri lanka_1.a.1_2956,0.361044138
PEARSON_CORR_MATRIX,sri lanka_1.5.1_3309,3.779829622
T_TEST_MATRIX,sri lanka_1.5.1_3309,3.723625667
GRANGER_CAUSALITY_MATRIX,sri lanka_1.5.1_3309,3.72694961
DTW_MATRIX,sri lanka_1.5.1_3309,3.737791645
COEFFICIENTS_MATRIX,sri lanka_1.5.1_3309,3.770921635
sgd_cap,sri lanka_1.5.1_3309,3.797414927
R_SQUARE_MATRIX,sri lanka_1.a.2_2277,3.233719074
PEARSON_CORR_MATRIX,sri lanka_1.a.2_2277,3.186559911
T_TEST_MATRIX,sri lanka_1.a.2_2277,3.21225419
GRANGER_CAUSALITY_MATRIX,sri lanka_1.a.2_2277,3.19125062
DTW_MATRIX,sri lanka_1.a.2_2277,3.256633714
sgd_cap,sri lanka_1.a.2_2277,3.17985157
DTW_MATRIX,sri lanka_2.c.1_2323,0.438975372
COEFFICIENTS_MATRIX,sri lanka_2.c.1_2323,0.395597554
R_SQUARE_MATRIX,sri lanka_2.c.1_2323,0.415989833
PEARSON_CORR_MATRIX,sri lanka_2.c.1_2323,0.481098514
T_TEST_MATRIX,sri lanka_2.c.1_2323,0.404156514
sgd_cap,sri lanka_2.c.1_2323,0.40952941
GRANGER_CAUSALITY_MATRIX,sri lanka_2.2.3_2304,0.329331012
DTW_MATRIX,sri lanka_2.2.3_2304,0.399955018
COEFFICIENTS_MATRIX,sri lanka_2.2.3_2304,0.400692403
R_SQUARE_MATRIX,sri lanka_2.2.3_2304,0.432942638
PEARSON_CORR_MATRIX,sri lanka_2.2.3_2304,0.33176245
sgd_cap,sri lanka_2.2.3_2304,0.304127482
T_TEST_MATRIX,sri lanka_2.a.1_2321,0.321992289
GRANGER_CAUSALITY_MATRIX,sri lanka_2.a.1_2321,0.443982033
DTW_MATRIX,sri lanka_2.a.1_2321,0.333497689
COEFFICIENTS_MATRIX,sri lanka_2.a.1_2321,0.309539605
R_SQUARE_MATRIX,sri lanka_2.a.1_2321,0.298511464
sgd_cap,sri lanka_2.a.1_2321,0.366176421
PEARSON_CORR_MATRIX,sri lanka_2.5.1_2318,0.92882076
T_TEST_MATRIX,sri lanka_2.5.1_2318,1.164046605
GRANGER_CAUSALITY_MATRIX,sri lanka_2.5.1_2318,0.758652167
DTW_MATRIX,sri lanka_2.5.1_2318,1.098417631
COEFFICIENTS_MATRIX,sri lanka_2.5.1_2318,1.087768887
sgd_cap,sri lanka_2.5.1_2318,1.14506964
R_SQUARE_MATRIX,sri lanka_2.1.1_2278,0.167814839
PEARSON_CORR_MATRIX,sri lanka_2.1.1_2278,0.146074892
T_TEST_MATRIX,sri lanka_2.1.1_2278,0.273808634
GRANGER_CAUSALITY_MATRIX,sri lanka_2.1.1_2278,0.187605433
DTW_MATRIX,sri lanka_2.1.1_2278,0.22019024
sgd_cap,sri lanka_2.1.1_2278,0.282188505
DTW_MATRIX,sri lanka_2.c.1_408,0.263220448
COEFFICIENTS_MATRIX,sri lanka_2.c.1_408,0.134657734
R_SQUARE_MATRIX,sri lanka_2.c.1_408,0.268642592
PEARSON_CORR_MATRIX,sri lanka_2.c.1_408,0.299493755
T_TEST_MATRIX,sri lanka_2.c.1_408,0.212416817
sgd_cap,sri lanka_2.c.1_408,0.243099388
GRANGER_CAUSALITY_MATRIX,sri lanka_2.c.1_410,0.251511773
DTW_MATRIX,sri lanka_2.c.1_410,0.235241978
COEFFICIENTS_MATRIX,sri lanka_2.c.1_410,0.277340265
R_SQUARE_MATRIX,sri lanka_2.c.1_410,0.32203987
PEARSON_CORR_MATRIX,sri lanka_2.c.1_410,0.264167393
sgd_cap,sri lanka_2.c.1_410,0.308108257
T_TEST_MATRIX,sri lanka_2.2_2949,0.441884157
GRANGER_CAUSALITY_MATRIX,sri lanka_2.2_2949,0.3915723
DTW_MATRIX,sri lanka_2.2_2949,0.412906524
COEFFICIENTS_MATRIX,sri lanka_2.2_2949,0.434233169
R_SQUARE_MATRIX,sri lanka_2.2_2949,0.565851612
sgd_cap,sri lanka_2.2_2949,0.342075565
PEARSON_CORR_MATRIX,sri lanka_2.2_2955,0.786858983
T_TEST_MATRIX,sri lanka_2.2_2955,0.624492879
GRANGER_CAUSALITY_MATRIX,sri lanka_2.2_2955,0.694331785
DTW_MATRIX,sri lanka_2.2_2955,0.728853774
COEFFICIENTS_MATRIX,sri lanka_2.2_2955,0.784854654
sgd_cap,sri lanka_2.2_2955,0.672357519
R_SQUARE_MATRIX,sri lanka_2.a.1_2322,0.638687509
PEARSON_CORR_MATRIX,sri lanka_2.a.1_2322,0.703767747
T_TEST_MATRIX,sri lanka_2.a.1_2322,0.608786671
GRANGER_CAUSALITY_MATRIX,sri lanka_2.a.1_2322,0.654273559
DTW_MATRIX,sri lanka_2.a.1_2322,0.669287372
sgd_cap,sri lanka_2.a.1_2322,0.626448495
DTW_MATRIX,sri lanka_2.a.1_2320,0.485027179
COEFFICIENTS_MATRIX,sri lanka_2.a.1_2320,0.3439177
R_SQUARE_MATRIX,sri lanka_2.a.1_2320,0.440207617
PEARSON_CORR_MATRIX,sri lanka_2.a.1_2320,0.511557257
T_TEST_MATRIX,sri lanka_2.a.1_2320,0.412300796
sgd_cap,sri lanka_2.a.1_2320,0.670564193
GRANGER_CAUSALITY_MATRIX,sri lanka_2.1.1_2279,0.195149015
DTW_MATRIX,sri lanka_2.1.1_2279,0.185502543
COEFFICIENTS_MATRIX,sri lanka_2.1.1_2279,0.234088485
R_SQUARE_MATRIX,sri lanka_2.1.1_2279,0.257040049
PEARSON_CORR_MATRIX,sri lanka_2.1.1_2279,0.159334338
sgd_cap,sri lanka_2.1.1_2279,0.297224868
T_TEST_MATRIX,sri lanka_2.a.2_2967,1.997465449
GRANGER_CAUSALITY_MATRIX,sri lanka_2.a.2_2967,2.049563673
DTW_MATRIX,sri lanka_2.a.2_2967,2.031978439
COEFFICIENTS_MATRIX,sri lanka_2.a.2_2967,2.021943257
R_SQUARE_MATRIX,sri lanka_2.a.2_2967,2.05923011
sgd_cap,sri lanka_2.a.2_2967,1.984783187
PEARSON_CORR_MATRIX,sri lanka_3.3.2_2326,1.177512218
T_TEST_MATRIX,sri lanka_3.3.2_2326,1.106701976
GRANGER_CAUSALITY_MATRIX,sri lanka_3.3.2_2326,1.108301638
DTW_MATRIX,sri lanka_3.3.2_2326,1.097824177
COEFFICIENTS_MATRIX,sri lanka_3.3.2_2326,0.678766036
sgd_cap,sri lanka_3.3.2_2326,1.223335507
R_SQUARE_MATRIX,sri lanka_3.3.5_2328,0.926840743
PEARSON_CORR_MATRIX,sri lanka_3.3.5_2328,0.7793261
T_TEST_MATRIX,sri lanka_3.3.5_2328,0.670083231
GRANGER_CAUSALITY_MATRIX,sri lanka_3.3.5_2328,0.686444288
DTW_MATRIX,sri lanka_3.3.5_2328,0.722165691
sgd_cap,sri lanka_3.3.5_2328,0.65049395
DTW_MATRIX,sri lanka_3.2.1_417,0.525866517
COEFFICIENTS_MATRIX,sri lanka_3.2.1_417,0.615323476
R_SQUARE_MATRIX,sri lanka_3.2.1_417,0.540627627
PEARSON_CORR_MATRIX,sri lanka_3.2.1_417,0.589475465
T_TEST_MATRIX,sri lanka_3.2.1_417,0.435124653
sgd_cap,sri lanka_3.2.1_417,0.411154969
GRANGER_CAUSALITY_MATRIX,sri lanka_3.2.1_416,0.63315046
DTW_MATRIX,sri lanka_3.2.1_416,0.448307735
COEFFICIENTS_MATRIX,sri lanka_3.2.1_416,0.635767638
R_SQUARE_MATRIX,sri lanka_3.2.1_416,0.659375376
PEARSON_CORR_MATRIX,sri lanka_3.2.1_416,0.53796777
sgd_cap,sri lanka_3.2.1_416,0.708877894
T_TEST_MATRIX,sri lanka_3.2.1_415,0.582821476
GRANGER_CAUSALITY_MATRIX,sri lanka_3.2.1_415,0.561026514
DTW_MATRIX,sri lanka_3.2.1_415,0.481764718
COEFFICIENTS_MATRIX,sri lanka_3.2.1_415,0.376295172
R_SQUARE_MATRIX,sri lanka_3.2.1_415,0.666213496
sgd_cap,sri lanka_3.2.1_415,0.595010178
PEARSON_CORR_MATRIX,sri lanka_3.a.1_490,0.468528245
T_TEST_MATRIX,sri lanka_3.a.1_490,0.450293154
GRANGER_CAUSALITY_MATRIX,sri lanka_3.a.1_490,0.521477023
DTW_MATRIX,sri lanka_3.a.1_490,0.502667643
COEFFICIENTS_MATRIX,sri lanka_3.a.1_490,0.255035483
sgd_cap,sri lanka_3.a.1_490,0.485449219
R_SQUARE_MATRIX,sri lanka_3.a.1_489,0.438633536
PEARSON_CORR_MATRIX,sri lanka_3.a.1_489,0.52963455
T_TEST_MATRIX,sri lanka_3.a.1_489,0.418211675
GRANGER_CAUSALITY_MATRIX,sri lanka_3.a.1_489,0.424876209
DTW_MATRIX,sri lanka_3.a.1_489,0.328348599
sgd_cap,sri lanka_3.a.1_489,0.452159832
DTW_MATRIX,sri lanka_3.a.1_488,0.355454836
COEFFICIENTS_MATRIX,sri lanka_3.a.1_488,0.486233051
R_SQUARE_MATRIX,sri lanka_3.a.1_488,0.525918782
PEARSON_CORR_MATRIX,sri lanka_3.a.1_488,0.582119734
T_TEST_MATRIX,sri lanka_3.a.1_488,0.498577017
sgd_cap,sri lanka_3.a.1_488,0.488022092
GRANGER_CAUSALITY_MATRIX,sri lanka_3.2.1_420,0.575789864
DTW_MATRIX,sri lanka_3.2.1_420,0.621342124
COEFFICIENTS_MATRIX,sri lanka_3.2.1_420,0.581523218
R_SQUARE_MATRIX,sri lanka_3.2.1_420,0.702034428
PEARSON_CORR_MATRIX,sri lanka_3.2.1_420,0.52064223
sgd_cap,sri lanka_3.2.1_420,0.62952121
T_TEST_MATRIX,sri lanka_3.2.1_419,0.59594072
GRANGER_CAUSALITY_MATRIX,sri lanka_3.2.1_419,0.446268647
DTW_MATRIX,sri lanka_3.2.1_419,0.377008274
COEFFICIENTS_MATRIX,sri lanka_3.2.1_419,0.403911579
R_SQUARE_MATRIX,sri lanka_3.2.1_419,0.622012319
sgd_cap,sri lanka_3.2.1_419,0.68460807
PEARSON_CORR_MATRIX,sri lanka_3.2.1_418,0.554996344
T_TEST_MATRIX,sri lanka_3.2.1_418,0.609480309
GRANGER_CAUSALITY_MATRIX,sri lanka_3.2.1_418,0.55380859
DTW_MATRIX,sri lanka_3.2.1_418,0.343937796
COEFFICIENTS_MATRIX,sri lanka_3.2.1_418,0.524335821
sgd_cap,sri lanka_3.2.1_418,0.636189488
R_SQUARE_MATRIX,sri lanka_3.1.1_2324,0.093501099
PEARSON_CORR_MATRIX,sri lanka_3.1.1_2324,0.104268664
T_TEST_MATRIX,sri lanka_3.1.1_2324,0.14084958
GRANGER_CAUSALITY_MATRIX,sri lanka_3.1.1_2324,0.156325992
DTW_MATRIX,sri lanka_3.1.1_2324,0.102637314
sgd_cap,sri lanka_3.1.1_2324,0.097069291
DTW_MATRIX,sri lanka_3.3.1_429,0.755700089
COEFFICIENTS_MATRIX,sri lanka_3.3.1_429,0.666445383
R_SQUARE_MATRIX,sri lanka_3.3.1_429,0.69507116
PEARSON_CORR_MATRIX,sri lanka_3.3.1_429,0.757528523
T_TEST_MATRIX,sri lanka_3.3.1_429,0.694909774
sgd_cap,sri lanka_3.3.1_429,0.738001777
GRANGER_CAUSALITY_MATRIX,sri lanka_3.3.1_441,0.125493147
DTW_MATRIX,sri lanka_3.3.1_441,0.110304923
COEFFICIENTS_MATRIX,sri lanka_3.3.1_441,0.112144132
R_SQUARE_MATRIX,sri lanka_3.3.1_441,0.116345456
PEARSON_CORR_MATRIX,sri lanka_3.3.1_441,0.110088162
sgd_cap,sri lanka_3.3.1_441,0.111725169
T_TEST_MATRIX,sri lanka_3.3.1_430,0.337211294
GRANGER_CAUSALITY_MATRIX,sri lanka_3.3.1_430,0.598965591
DTW_MATRIX,sri lanka_3.3.1_430,0.598803358
COEFFICIENTS_MATRIX,sri lanka_3.3.1_430,0.523009704
R_SQUARE_MATRIX,sri lanka_3.3.1_430,0.538681021
sgd_cap,sri lanka_3.3.1_430,0.583823089
PEARSON_CORR_MATRIX,sri lanka_3.3.1_432,0.84745771
T_TEST_MATRIX,sri lanka_3.3.1_432,0.703527745
GRANGER_CAUSALITY_MATRIX,sri lanka_3.3.1_432,0.879431946
DTW_MATRIX,sri lanka_3.3.1_432,0.871722932
COEFFICIENTS_MATRIX,sri lanka_3.3.1_432,0.873450697
sgd_cap,sri lanka_3.3.1_432,0.879746057
R_SQUARE_MATRIX,sri lanka_3.3.1_438,0.533745792
PEARSON_CORR_MATRIX,sri lanka_3.3.1_438,0.455550253
T_TEST_MATRIX,sri lanka_3.3.1_438,0.62221035
GRANGER_CAUSALITY_MATRIX,sri lanka_3.3.1_438,0.532454494
DTW_MATRIX,sri lanka_3.3.1_438,0.500225148
sgd_cap,sri lanka_3.3.1_438,0.548511127
DTW_MATRIX,sri lanka_3.3.1_439,0.522093679
COEFFICIENTS_MATRIX,sri lanka_3.3.1_439,0.593379505
R_SQUARE_MATRIX,sri lanka_3.3.1_439,0.63175201
PEARSON_CORR_MATRIX,sri lanka_3.3.1_439,0.579267304
T_TEST_MATRIX,sri lanka_3.3.1_439,0.56836783
sgd_cap,sri lanka_3.3.1_439,0.573432968
GRANGER_CAUSALITY_MATRIX,sri lanka_3.3.1_431,0.830000664
DTW_MATRIX,sri lanka_3.3.1_431,0.961940352
COEFFICIENTS_MATRIX,sri lanka_3.3.1_431,0.745755934
R_SQUARE_MATRIX,sri lanka_3.3.1_431,0.94564759
PEARSON_CORR_MATRIX,sri lanka_3.3.1_431,0.913891679
sgd_cap,sri lanka_3.3.1_431,0.936108248
T_TEST_MATRIX,sri lanka_3.3.1_433,0.874216877
GRANGER_CAUSALITY_MATRIX,sri lanka_3.3.1_433,0.803437713
DTW_MATRIX,sri lanka_3.3.1_433,0.87741422
COEFFICIENTS_MATRIX,sri lanka_3.3.1_433,0.604637694
R_SQUARE_MATRIX,sri lanka_3.3.1_433,1.252317784
sgd_cap,sri lanka_3.3.1_433,0.773715978
PEARSON_CORR_MATRIX,sri lanka_3.3.1_435,0.063868977
T_TEST_MATRIX,sri lanka_3.3.1_435,0.028378603
GRANGER_CAUSALITY_MATRIX,sri lanka_3.3.1_435,0.034557675
DTW_MATRIX,sri lanka_3.3.1_435,0.062718776
COEFFICIENTS_MATRIX,sri lanka_3.3.1_435,0.006814317
sgd_cap,sri lanka_3.3.1_435,0.064884871
R_SQUARE_MATRIX,sri lanka_3.3.1_434,0.644244508
PEARSON_CORR_MATRIX,sri lanka_3.3.1_434,0.522776831
T_TEST_MATRIX,sri lanka_3.3.1_434,0.521488588
GRANGER_CAUSALITY_MATRIX,sri lanka_3.3.1_434,0.574584748
DTW_MATRIX,sri lanka_3.3.1_434,0.518532525
sgd_cap,sri lanka_3.3.1_434,0.616081647
DTW_MATRIX,sri lanka_3.3.1_437,0.08244709
COEFFICIENTS_MATRIX,sri lanka_3.3.1_437,0.138354836
R_SQUARE_MATRIX,sri lanka_3.3.1_437,0.092718688
PEARSON_CORR_MATRIX,sri lanka_3.3.1_437,0.148105875
T_TEST_MATRIX,sri lanka_3.3.1_437,0.179578797
sgd_cap,sri lanka_3.3.1_437,0.077266522
GRANGER_CAUSALITY_MATRIX,sri lanka_3.b.2_2969,11.5777016
DTW_MATRIX,sri lanka_3.b.2_2969,11.71345898
COEFFICIENTS_MATRIX,sri lanka_3.b.2_2969,11.75856318
R_SQUARE_MATRIX,sri lanka_3.b.2_2969,11.68957881
PEARSON_CORR_MATRIX,sri lanka_3.b.2_2969,11.72033015
sgd_cap,sri lanka_3.b.2_2969,11.75610207
T_TEST_MATRIX,sri lanka_3.2.1_426,0.669363511
GRANGER_CAUSALITY_MATRIX,sri lanka_3.2.1_426,0.5980948
DTW_MATRIX,sri lanka_3.2.1_426,0.554062763
COEFFICIENTS_MATRIX,sri lanka_3.2.1_426,0.614694914
R_SQUARE_MATRIX,sri lanka_3.2.1_426,0.529945666
sgd_cap,sri lanka_3.2.1_426,0.560995883
PEARSON_CORR_MATRIX,sri lanka_3.2.1_425,0.56197243
T_TEST_MATRIX,sri lanka_3.2.1_425,0.642105739
GRANGER_CAUSALITY_MATRIX,sri lanka_3.2.1_425,0.600648353
DTW_MATRIX,sri lanka_3.2.1_425,0.420376892
COEFFICIENTS_MATRIX,sri lanka_3.2.1_425,0.417055531
sgd_cap,sri lanka_3.2.1_425,0.447133683
R_SQUARE_MATRIX,sri lanka_3.2.1_424,0.618992659
PEARSON_CORR_MATRIX,sri lanka_3.2.1_424,0.361268116
T_TEST_MATRIX,sri lanka_3.2.1_424,0.611168799
GRANGER_CAUSALITY_MATRIX,sri lanka_3.2.1_424,0.434654509
DTW_MATRIX,sri lanka_3.2.1_424,0.471796484
sgd_cap,sri lanka_3.2.1_424,0.612090222
DTW_MATRIX,sri lanka_3.c.1_2366,2.010764959
COEFFICIENTS_MATRIX,sri lanka_3.c.1_2366,2.075864419
R_SQUARE_MATRIX,sri lanka_3.c.1_2366,1.970751571
PEARSON_CORR_MATRIX,sri lanka_3.c.1_2366,2.052282999
T_TEST_MATRIX,sri lanka_3.c.1_2366,2.020114719
sgd_cap,sri lanka_3.c.1_2366,2.013537189
GRANGER_CAUSALITY_MATRIX,sri lanka_3.c.1_2364,0.670422486
DTW_MATRIX,sri lanka_3.c.1_2364,0.674193403
COEFFICIENTS_MATRIX,sri lanka_3.c.1_2364,0.590375617
R_SQUARE_MATRIX,sri lanka_3.c.1_2364,0.690565964
PEARSON_CORR_MATRIX,sri lanka_3.c.1_2364,0.580910834
sgd_cap,sri lanka_3.c.1_2364,0.551172026
T_TEST_MATRIX,sri lanka_3.c.1_2365,0.922379393
GRANGER_CAUSALITY_MATRIX,sri lanka_3.c.1_2365,0.693109586
DTW_MATRIX,sri lanka_3.c.1_2365,0.81235638
COEFFICIENTS_MATRIX,sri lanka_3.c.1_2365,0.988376621
R_SQUARE_MATRIX,sri lanka_3.c.1_2365,0.802805715
sgd_cap,sri lanka_3.c.1_2365,0.857984525
PEARSON_CORR_MATRIX,sri lanka_3.c.1_2367,0.739752002
T_TEST_MATRIX,sri lanka_3.c.1_2367,0.728304165
GRANGER_CAUSALITY_MATRIX,sri lanka_3.c.1_2367,0.794496353
DTW_MATRIX,sri lanka_3.c.1_2367,0.689014914
COEFFICIENTS_MATRIX,sri lanka_3.c.1_2367,0.847400928
sgd_cap,sri lanka_3.c.1_2367,0.768152619
R_SQUARE_MATRIX,sri lanka_3.b.1_2356,0.051157005
